descripcion,decision,equipo,estadio,arbitro
Minuto 84: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Gol anulado,Liverpool,Monumental,Darío Herrera
Minuto 1: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Independiente.,Gol válido,Liverpool,Etihad,Fernando Rapallini
Minuto 3: Alan Velasco protagoniza una jugada polémica en Old Trafford entre River Plate.,Amarilla,Manchester City,Monumental,Wilton Sampaio
Minuto 44: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre River Plate.,No penal,River Plate,Libertadores de América,Fernando Rapallini
Minuto 58: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Independiente.,Offside,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 56: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre River Plate.,Gol anulado,Boca Juniors,Anfield,Darío Herrera
Minuto 87: Erling Haaland protagoniza una jugada polémica en Monumental entre River Plate.,Penal,Independiente,Bombonera,Anthony Taylor
Minuto 44: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Offside,Manchester United,Old Trafford,Fernando Rapallini
Minuto 38: Erling Haaland protagoniza una jugada polémica en Anfield entre Boca Juniors.,Amarilla,Independiente,Old Trafford,Fernando Rapallini
Minuto 73: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Independiente.,Roja,Manchester United,Anfield,Michael Oliver
Minuto 59: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Penal,Manchester United,Anfield,Michael Oliver
Minuto 33: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester United.,No penal,River Plate,Monumental,Facundo Tello
Minuto 23: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,Offside,Liverpool,Bombonera,Fernando Rapallini
Minuto 60: Julián Álvarez protagoniza una jugada polémica en Bombonera entre River Plate.,Amarilla,Liverpool,Etihad,Anthony Taylor
Minuto 32: Enzo Pérez protagoniza una jugada polémica en Monumental entre River Plate.,Penal,Manchester United,Old Trafford,Michael Oliver
Minuto 24: Alan Velasco protagoniza una jugada polémica en Monumental entre Liverpool.,Penal,River Plate,Anfield,Darío Herrera
Minuto 84: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Independiente.,Gol válido,Manchester United,Monumental,Anthony Taylor
Minuto 18: Alan Velasco protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Amarilla,Manchester United,Etihad,Fernando Rapallini
Minuto 33: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Independiente.,Roja,Liverpool,Old Trafford,Fernando Rapallini
Minuto 33: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester United.,Amarilla,Independiente,Libertadores de América,Darío Herrera
Minuto 38: Alan Velasco protagoniza una jugada polémica en Etihad entre Manchester United.,Amarilla,Manchester United,Old Trafford,Facundo Tello
Minuto 21: Alan Velasco protagoniza una jugada polémica en Monumental entre Liverpool.,Offside,River Plate,Etihad,Michael Oliver
Minuto 61: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester United.,Gol válido,River Plate,Anfield,Michael Oliver
Minuto 30: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Amarilla,Manchester United,Anfield,Fernando Rapallini
Minuto 37: Erling Haaland protagoniza una jugada polémica en Monumental entre Independiente.,Roja,Manchester United,Anfield,Fernando Rapallini
Minuto 63: Erling Haaland protagoniza una jugada polémica en Etihad entre River Plate.,Penal,Boca Juniors,Monumental,Facundo Tello
Minuto 54: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Independiente.,Gol anulado,Independiente,Bombonera,Wilton Sampaio
Minuto 2: Edinson Cavani protagoniza una jugada polémica en Monumental entre River Plate.,Gol válido,Manchester United,Libertadores de América,Anthony Taylor
Minuto 42: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Gol válido,Manchester City,Anfield,Facundo Tello
Minuto 7: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester City.,No penal,River Plate,Libertadores de América,Darío Herrera
Minuto 76: Enzo Pérez protagoniza una jugada polémica en Anfield entre Boca Juniors.,Gol anulado,Independiente,Old Trafford,Fernando Rapallini
Minuto 58: Alan Velasco protagoniza una jugada polémica en Etihad entre Independiente.,Gol anulado,Boca Juniors,Libertadores de América,Fernando Rapallini
Minuto 52: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Independiente.,Penal,Liverpool,Etihad,Fernando Rapallini
Minuto 8: Erling Haaland protagoniza una jugada polémica en Anfield entre Liverpool.,No penal,Manchester City,Anfield,Darío Herrera
Minuto 47: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester City.,Gol anulado,Liverpool,Bombonera,Darío Herrera
Minuto 19: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Liverpool.,Gol anulado,Boca Juniors,Etihad,Facundo Tello
Minuto 62: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester City.,Gol válido,Boca Juniors,Bombonera,Fernando Rapallini
Minuto 34: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre River Plate.,Roja,Manchester City,Monumental,Anthony Taylor
Minuto 64: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Offside,Manchester United,Anfield,Facundo Tello
Minuto 16: Enzo Pérez protagoniza una jugada polémica en Etihad entre Independiente.,Gol válido,Manchester City,Libertadores de América,Michael Oliver
Minuto 69: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Independiente.,Amarilla,Liverpool,Etihad,Michael Oliver
Minuto 16: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Manchester City.,Offside,Liverpool,Monumental,Darío Herrera
Minuto 23: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Independiente.,Roja,Liverpool,Bombonera,Michael Oliver
Minuto 10: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Gol válido,Manchester City,Etihad,Michael Oliver
Minuto 16: Edinson Cavani protagoniza una jugada polémica en Monumental entre Liverpool.,Penal,Liverpool,Anfield,Facundo Tello
Minuto 35: Bruno Fernandes protagoniza una jugada polémica en Monumental entre River Plate.,Roja,Manchester United,Old Trafford,Anthony Taylor
Minuto 12: Enzo Pérez protagoniza una jugada polémica en Monumental entre River Plate.,Gol anulado,Manchester United,Anfield,Anthony Taylor
Minuto 13: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Roja,Manchester United,Bombonera,Wilton Sampaio
Minuto 87: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester City.,Gol anulado,Boca Juniors,Bombonera,Darío Herrera
Minuto 34: Enzo Pérez protagoniza una jugada polémica en Monumental entre Liverpool.,Gol anulado,Manchester City,Bombonera,Anthony Taylor
Minuto 75: Erling Haaland protagoniza una jugada polémica en Anfield entre River Plate.,Roja,Manchester City,Monumental,Michael Oliver
Minuto 10: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester United.,Gol válido,Manchester United,Anfield,Facundo Tello
Minuto 24: Alan Velasco protagoniza una jugada polémica en Etihad entre Liverpool.,Gol válido,Manchester City,Monumental,Wilton Sampaio
Minuto 30: Julián Álvarez protagoniza una jugada polémica en Monumental entre Independiente.,No penal,River Plate,Libertadores de América,Anthony Taylor
Minuto 59: Enzo Pérez protagoniza una jugada polémica en Monumental entre Liverpool.,No penal,Manchester City,Monumental,Wilton Sampaio
Minuto 76: Julián Álvarez protagoniza una jugada polémica en Anfield entre Independiente.,Offside,Liverpool,Old Trafford,Facundo Tello
Minuto 16: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester United.,No penal,River Plate,Anfield,Wilton Sampaio
Minuto 85: Bruno Fernandes protagoniza una jugada polémica en Etihad entre River Plate.,Offside,Manchester City,Etihad,Facundo Tello
Minuto 58: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester City.,Penal,Manchester City,Old Trafford,Wilton Sampaio
Minuto 18: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Boca Juniors.,Gol anulado,Liverpool,Monumental,Anthony Taylor
Minuto 7: Alan Velasco protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol válido,Boca Juniors,Old Trafford,Facundo Tello
Minuto 66: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester City.,Amarilla,Manchester United,Etihad,Fernando Rapallini
Minuto 86: Bruno Fernandes protagoniza una jugada polémica en Monumental entre River Plate.,Roja,Liverpool,Anfield,Darío Herrera
Minuto 31: Enzo Pérez protagoniza una jugada polémica en Etihad entre Liverpool.,Amarilla,Manchester United,Bombonera,Facundo Tello
Minuto 19: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester City.,Roja,Boca Juniors,Anfield,Darío Herrera
Minuto 58: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Manchester City.,Offside,River Plate,Monumental,Wilton Sampaio
Minuto 77: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre River Plate.,Offside,Liverpool,Monumental,Fernando Rapallini
Minuto 56: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Amarilla,Boca Juniors,Anfield,Anthony Taylor
Minuto 32: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester City.,Amarilla,Manchester City,Old Trafford,Michael Oliver
Minuto 36: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Liverpool.,Gol válido,Boca Juniors,Monumental,Fernando Rapallini
Minuto 14: Julián Álvarez protagoniza una jugada polémica en Etihad entre Independiente.,Amarilla,Manchester United,Monumental,Wilton Sampaio
Minuto 12: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,No penal,Manchester City,Bombonera,Michael Oliver
Minuto 36: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol anulado,Liverpool,Anfield,Anthony Taylor
Minuto 41: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Independiente.,Offside,River Plate,Monumental,Fernando Rapallini
Minuto 84: Erling Haaland protagoniza una jugada polémica en Anfield entre Manchester City.,Roja,Independiente,Old Trafford,Anthony Taylor
Minuto 6: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Manchester City.,Offside,River Plate,Bombonera,Facundo Tello
Minuto 56: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Manchester City,Monumental,Darío Herrera
Minuto 65: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester United.,Roja,Boca Juniors,Monumental,Darío Herrera
Minuto 59: Enzo Pérez protagoniza una jugada polémica en Monumental entre Manchester City.,Gol válido,Boca Juniors,Monumental,Wilton Sampaio
Minuto 1: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol válido,Manchester City,Etihad,Darío Herrera
Minuto 3: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester City.,Roja,Boca Juniors,Bombonera,Wilton Sampaio
Minuto 17: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre River Plate.,Amarilla,River Plate,Old Trafford,Anthony Taylor
Minuto 77: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre River Plate.,Gol válido,Boca Juniors,Anfield,Facundo Tello
Minuto 34: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Penal,Boca Juniors,Anfield,Fernando Rapallini
Minuto 54: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Independiente.,Amarilla,Manchester United,Monumental,Fernando Rapallini
Minuto 47: Erling Haaland protagoniza una jugada polémica en Etihad entre Independiente.,Gol anulado,Manchester United,Old Trafford,Darío Herrera
Minuto 64: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Independiente.,Gol anulado,Boca Juniors,Bombonera,Darío Herrera
Minuto 79: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,No penal,River Plate,Libertadores de América,Fernando Rapallini
Minuto 88: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Penal,River Plate,Etihad,Anthony Taylor
Minuto 4: Edinson Cavani protagoniza una jugada polémica en Monumental entre Boca Juniors.,Gol válido,Liverpool,Anfield,Anthony Taylor
Minuto 34: Alan Velasco protagoniza una jugada polémica en Etihad entre Boca Juniors.,Roja,Independiente,Old Trafford,Wilton Sampaio
Minuto 75: Enzo Pérez protagoniza una jugada polémica en Monumental entre Manchester United.,Amarilla,Liverpool,Anfield,Fernando Rapallini
Minuto 67: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol anulado,Manchester City,Bombonera,Wilton Sampaio
Minuto 19: Erling Haaland protagoniza una jugada polémica en Etihad entre Boca Juniors.,No penal,Boca Juniors,Etihad,Darío Herrera
Minuto 21: Alan Velasco protagoniza una jugada polémica en Monumental entre Manchester City.,Gol válido,Liverpool,Bombonera,Darío Herrera
Minuto 34: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Roja,Manchester United,Monumental,Facundo Tello
Minuto 47: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Independiente.,Penal,Manchester City,Monumental,Facundo Tello
Minuto 36: Julián Álvarez protagoniza una jugada polémica en Monumental entre Manchester United.,Roja,Liverpool,Libertadores de América,Darío Herrera
Minuto 90: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Roja,Boca Juniors,Libertadores de América,Wilton Sampaio
Minuto 56: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Independiente.,Penal,Liverpool,Etihad,Facundo Tello
Minuto 38: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre River Plate.,Offside,Manchester City,Anfield,Facundo Tello
Minuto 39: Julián Álvarez protagoniza una jugada polémica en Monumental entre Independiente.,Gol anulado,Independiente,Anfield,Fernando Rapallini
Minuto 17: Erling Haaland protagoniza una jugada polémica en Anfield entre River Plate.,No penal,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 18: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Offside,River Plate,Anfield,Wilton Sampaio
Minuto 42: Julián Álvarez protagoniza una jugada polémica en Etihad entre Independiente.,No penal,Boca Juniors,Bombonera,Wilton Sampaio
Minuto 56: Enzo Pérez protagoniza una jugada polémica en Etihad entre Independiente.,Roja,River Plate,Monumental,Anthony Taylor
Minuto 22: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Independiente.,Offside,Liverpool,Libertadores de América,Wilton Sampaio
Minuto 62: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre River Plate.,Offside,Manchester United,Old Trafford,Anthony Taylor
Minuto 36: Alan Velasco protagoniza una jugada polémica en Bombonera entre Liverpool.,No penal,Manchester United,Anfield,Darío Herrera
Minuto 51: Alan Velasco protagoniza una jugada polémica en Monumental entre Boca Juniors.,Offside,Manchester United,Bombonera,Wilton Sampaio
Minuto 45: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Independiente.,Gol anulado,Independiente,Anfield,Wilton Sampaio
Minuto 84: Julián Álvarez protagoniza una jugada polémica en Anfield entre River Plate.,No penal,River Plate,Bombonera,Darío Herrera
Minuto 64: Alan Velasco protagoniza una jugada polémica en Etihad entre Independiente.,Penal,Liverpool,Etihad,Wilton Sampaio
Minuto 3: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Gol anulado,Manchester City,Bombonera,Michael Oliver
Minuto 2: Erling Haaland protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol válido,Manchester City,Monumental,Fernando Rapallini
Minuto 9: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Amarilla,River Plate,Etihad,Darío Herrera
Minuto 60: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Independiente.,Roja,Manchester United,Monumental,Facundo Tello
Minuto 76: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre River Plate.,Amarilla,Liverpool,Etihad,Wilton Sampaio
Minuto 14: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Roja,Manchester City,Etihad,Wilton Sampaio
Minuto 78: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol válido,Manchester City,Bombonera,Fernando Rapallini
Minuto 18: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester City.,Amarilla,River Plate,Monumental,Fernando Rapallini
Minuto 17: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Independiente.,Roja,Manchester United,Old Trafford,Darío Herrera
Minuto 6: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,No penal,Manchester City,Monumental,Michael Oliver
Minuto 27: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Independiente.,Gol válido,River Plate,Etihad,Anthony Taylor
Minuto 27: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Amarilla,Boca Juniors,Bombonera,Anthony Taylor
Minuto 74: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Independiente.,Roja,Liverpool,Etihad,Michael Oliver
Minuto 56: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester City.,Offside,Liverpool,Anfield,Anthony Taylor
Minuto 2: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Manchester United.,No penal,Liverpool,Bombonera,Wilton Sampaio
Minuto 27: Erling Haaland protagoniza una jugada polémica en Anfield entre Manchester United.,Amarilla,Boca Juniors,Libertadores de América,Darío Herrera
Minuto 72: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester United.,No penal,Boca Juniors,Etihad,Darío Herrera
Minuto 82: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,Penal,Liverpool,Anfield,Michael Oliver
Minuto 68: Erling Haaland protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol válido,Liverpool,Bombonera,Fernando Rapallini
Minuto 51: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre River Plate.,Amarilla,Manchester United,Monumental,Darío Herrera
Minuto 21: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Amarilla,River Plate,Monumental,Darío Herrera
Minuto 55: Enzo Pérez protagoniza una jugada polémica en Etihad entre River Plate.,Roja,River Plate,Bombonera,Michael Oliver
Minuto 57: Erling Haaland protagoniza una jugada polémica en Bombonera entre River Plate.,Penal,Liverpool,Monumental,Facundo Tello
Minuto 75: Alan Velasco protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Penal,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 43: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester United.,Penal,Independiente,Monumental,Michael Oliver
Minuto 70: Erling Haaland protagoniza una jugada polémica en Monumental entre River Plate.,Roja,Manchester United,Libertadores de América,Facundo Tello
Minuto 28: Edinson Cavani protagoniza una jugada polémica en Etihad entre River Plate.,Offside,River Plate,Anfield,Fernando Rapallini
Minuto 49: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Independiente.,No penal,Manchester City,Monumental,Fernando Rapallini
Minuto 13: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester United.,Penal,Independiente,Libertadores de América,Anthony Taylor
Minuto 49: Erling Haaland protagoniza una jugada polémica en Etihad entre Independiente.,Penal,Boca Juniors,Monumental,Darío Herrera
Minuto 47: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Independiente.,No penal,River Plate,Bombonera,Darío Herrera
Minuto 38: Enzo Pérez protagoniza una jugada polémica en Anfield entre River Plate.,Roja,Manchester United,Bombonera,Facundo Tello
Minuto 83: Alan Velasco protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol válido,Liverpool,Bombonera,Anthony Taylor
Minuto 8: Julián Álvarez protagoniza una jugada polémica en Monumental entre Manchester United.,Offside,Manchester United,Etihad,Darío Herrera
Minuto 67: Enzo Pérez protagoniza una jugada polémica en Monumental entre Liverpool.,Offside,Boca Juniors,Old Trafford,Darío Herrera
Minuto 32: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Liverpool.,No penal,Manchester City,Libertadores de América,Anthony Taylor
Minuto 14: Edinson Cavani protagoniza una jugada polémica en Bombonera entre River Plate.,Offside,Manchester City,Old Trafford,Anthony Taylor
Minuto 19: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Liverpool.,Gol anulado,Boca Juniors,Monumental,Anthony Taylor
Minuto 20: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Penal,Liverpool,Anfield,Anthony Taylor
Minuto 37: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre River Plate.,Gol anulado,Manchester City,Anfield,Wilton Sampaio
Minuto 86: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Boca Juniors.,Amarilla,Manchester United,Libertadores de América,Fernando Rapallini
Minuto 81: Alan Velasco protagoniza una jugada polémica en Monumental entre Boca Juniors.,Roja,River Plate,Monumental,Darío Herrera
Minuto 22: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol anulado,Boca Juniors,Etihad,Anthony Taylor
Minuto 87: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Independiente.,Gol anulado,Manchester City,Bombonera,Michael Oliver
Minuto 41: Alan Velasco protagoniza una jugada polémica en Bombonera entre River Plate.,Roja,River Plate,Libertadores de América,Facundo Tello
Minuto 76: Erling Haaland protagoniza una jugada polémica en Bombonera entre Independiente.,Roja,Manchester United,Monumental,Darío Herrera
Minuto 40: Edinson Cavani protagoniza una jugada polémica en Anfield entre Manchester City.,Gol válido,Manchester City,Bombonera,Anthony Taylor
Minuto 17: Edinson Cavani protagoniza una jugada polémica en Etihad entre Liverpool.,Amarilla,Boca Juniors,Libertadores de América,Facundo Tello
Minuto 54: Enzo Pérez protagoniza una jugada polémica en Monumental entre Manchester United.,Roja,Liverpool,Old Trafford,Facundo Tello
Minuto 29: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Manchester United.,No penal,River Plate,Old Trafford,Wilton Sampaio
Minuto 54: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Independiente.,Roja,River Plate,Bombonera,Michael Oliver
Minuto 20: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Liverpool.,Penal,River Plate,Libertadores de América,Wilton Sampaio
Minuto 73: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Manchester City.,Gol válido,River Plate,Monumental,Fernando Rapallini
Minuto 89: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Gol válido,Manchester United,Old Trafford,Facundo Tello
Minuto 44: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Independiente.,Gol anulado,Liverpool,Old Trafford,Anthony Taylor
Minuto 44: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre River Plate.,Roja,River Plate,Bombonera,Fernando Rapallini
Minuto 55: Julián Álvarez protagoniza una jugada polémica en Anfield entre Independiente.,Penal,Manchester City,Monumental,Anthony Taylor
Minuto 80: Alan Velasco protagoniza una jugada polémica en Monumental entre Boca Juniors.,Gol válido,Liverpool,Old Trafford,Facundo Tello
Minuto 26: Edinson Cavani protagoniza una jugada polémica en Monumental entre Boca Juniors.,Roja,Independiente,Bombonera,Darío Herrera
Minuto 79: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester United.,Gol anulado,Manchester United,Etihad,Facundo Tello
Minuto 39: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Manchester United.,Gol anulado,River Plate,Libertadores de América,Wilton Sampaio
Minuto 60: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Manchester United,Bombonera,Michael Oliver
Minuto 39: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester City.,Amarilla,River Plate,Etihad,Facundo Tello
Minuto 33: Erling Haaland protagoniza una jugada polémica en Bombonera entre Liverpool.,Amarilla,Boca Juniors,Old Trafford,Facundo Tello
Minuto 34: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester City.,Roja,Boca Juniors,Old Trafford,Wilton Sampaio
Minuto 39: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,Amarilla,River Plate,Etihad,Darío Herrera
Minuto 57: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Boca Juniors.,Amarilla,River Plate,Anfield,Anthony Taylor
Minuto 65: Alan Velasco protagoniza una jugada polémica en Monumental entre Manchester United.,Roja,Independiente,Libertadores de América,Facundo Tello
Minuto 68: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Gol válido,River Plate,Etihad,Darío Herrera
Minuto 79: Julián Álvarez protagoniza una jugada polémica en Monumental entre River Plate.,No penal,Liverpool,Old Trafford,Facundo Tello
Minuto 37: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester United.,No penal,Independiente,Libertadores de América,Wilton Sampaio
